
ALA,Estacion,Fecha,Caudal(m3/s)
ZAÑA,BATAN,01/01/1950,1.82600
ZAÑA,BATAN,02/01/1950,2.02500
ZAÑA,BATAN,03/01/1950,1.80700
ZAÑA,BATAN,04/01/1950,1.99000
ZAÑA,BATAN,05/01/1950,2.01800
ZAÑA,BATAN,06/01/1950,2.03900
ZAÑA,BATAN,07/01/1950,1.97000
ZAÑA,BATAN,08/01/1950,1.93900
ZAÑA,BATAN,09/01/1950,1.86900
ZAÑA,BATAN,10/01/1950,1.88900
ZAÑA,BATAN,11/01/1950,1.63300
ZAÑA,BATAN,12/01/1950,1.70700
ZAÑA,BATAN,13/01/1950,1.70400
ZAÑA,BATAN,14/01/1950,1.78500
ZAÑA,BATAN,15/01/1950,2.29000
ZAÑA,BATAN,16/01/1950,2.29600
ZAÑA,BATAN,17/01/1950,2.47800
ZAÑA,BATAN,18/01/1950,2.35800
ZAÑA,BATAN,19/01/1950,2.22400
ZAÑA,BATAN,20/01/1950,2.18000
ZAÑA,BATAN,21/01/1950,2.05400
ZAÑA,BATAN,22/01/1950,2.01700
ZAÑA,BATAN,23/01/1950,2.14300
ZAÑA,BATAN,24/01/1950,2.22400
ZAÑA,BATAN,25/01/1950,2.34400
ZAÑA,BATAN,26/01/1950,2.38200
ZAÑA,BATAN,27/01/1950,2.16000
ZAÑA,BATAN,28/01/1950,2.25000
ZAÑA,BATAN,29/01/1950,2.10000
ZAÑA,BATAN,30/01/1950,2.16100
ZAÑA,BATAN,31/01/1950,2.21000
ZAÑA,BATAN,01/02/1950,2.10500
ZAÑA,BATAN,02/02/1950,1.82800
ZAÑA,BATAN,03/02/1950,1.74600
ZAÑA,BATAN,04/02/1950,1.79100
ZAÑA,BATAN,05/02/1950,1.91800
ZAÑA,BATAN,06/02/1950,1.83400
ZAÑA,BATAN,07/02/1950,2.08300
ZAÑA,BATAN,08/02/1950,2.30400
ZAÑA,BATAN,09/02/1950,2.27600
ZAÑA,BATAN,10/02/1950,2.23300
ZAÑA,BATAN,11/02/1950,2.24400
ZAÑA,BATAN,12/02/1950,2.25700
ZAÑA,BATAN,13/02/1950,3.13100
ZAÑA,BATAN,14/02/1950,5.69500
ZAÑA,BATAN,15/02/1950,9.64300
ZAÑA,BATAN,16/02/1950,12.50200
ZAÑA,BATAN,17/02/1950,12.62200
ZAÑA,BATAN,18/02/1950,14.29100
ZAÑA,BATAN,19/02/1950,16.73600
ZAÑA,BATAN,20/02/1950,16.80700
ZAÑA,BATAN,21/02/1950,12.16700
ZAÑA,BATAN,22/02/1950,11.48400
ZAÑA,BATAN,23/02/1950,9.49400
ZAÑA,BATAN,24/02/1950,8.61800
ZAÑA,BATAN,25/02/1950,7.35700
ZAÑA,BATAN,26/02/1950,7.90400
ZAÑA,BATAN,27/02/1950,7.94700
ZAÑA,BATAN,28/02/1950,8.42300
ZAÑA,BATAN,01/03/1950,8.42300
ZAÑA,BATAN,02/03/1950,7.45900
ZAÑA,BATAN,03/03/1950,7.15300
ZAÑA,BATAN,04/03/1950,6.75800
ZAÑA,BATAN,05/03/1950,5.93300
ZAÑA,BATAN,06/03/1950,6.00700
ZAÑA,BATAN,07/03/1950,5.53000
ZAÑA,BATAN,08/03/1950,5.26000
ZAÑA,BATAN,09/03/1950,5.98300
ZAÑA,BATAN,10/03/1950,6.01800
ZAÑA,BATAN,11/03/1950,5.56000
ZAÑA,BATAN,12/03/1950,5.61800
ZAÑA,BATAN,13/03/1950,6.49700
ZAÑA,BATAN,14/03/1950,7.63100
ZAÑA,BATAN,15/03/1950,11.14700
ZAÑA,BATAN,16/03/1950,9.84900
